"","term","estimate","std.error","offset","change.value","change","sp"
"MOURMY2","con_dens",0.00399758986608088,0.00210892953510269,1,"0_1","iqr","MOURMY"
"OURALU2","con_dens",0,0,1,"0_0","iqr","OURALU"
"PRI1AS2","con_dens",0,0,1,"0_0","iqr","PRI1AS"
"PSYCDE2","con_dens",0,0,1,"0_0","iqr","PSYCDE"
"PSYCFU2","con_dens",0,0,1,"0_0","iqr","PSYCFU"
"QUARAS2","con_dens",-0.0389052519119398,0.0133742790763265,1,"0_7","iqr","QUARAS"
"RHYCPY2","con_dens",0,0,1,"0_0","iqr","RHYCPY"
"RINOSY2","con_dens",0.00275678900863059,0.00702852252413102,1,"0_1","iqr","RINOSY"
"TET3DI2","con_dens",-0.0325940995257087,0.0685980193652732,1,"0_1","iqr","TET3DI"
"data_deficient_seedling2","con_dens",0,0,1,"0_0","iqr","data_deficient_seedling"
